Run,UnixTime_midRun,runduration,Activity_mBq_per_m3,Uncertainty_mBq_per_m3,A_fit_T_cont,SE_A_fit_T_const, A_stat, SE_A_stat, Chi2,Ndf,Prob,TotEntry,mean_alpha_range,SE_mean_alpha_range
3121,1757065406,43201.000,69.628556131,1.846214571,69.915601676,1.802200715,69.591672956,1.754102279,43.144889731,47,0.632972747,1574,248.5308775096,1.8237836412
3124,1757108921,41301.000,62.439412703,1.883376485,62.404111254,1.820337766,63.497454973,1.713645758,73.027529610,47,0.008856360,1373,248.4400844204,1.9079505036
3128,1757196171,43201.000,59.030175455,1.762325678,59.483390729,1.694871872,59.687902472,1.624498943,59.592582495,47,0.102834769,1350,247.9063743155,1.9416213398
3129,1757239383,43201.000,62.874742848,1.759880678,63.364807301,1.719402478,63.357603143,1.673692400,55.456049321,47,0.186032756,1433,251.5822450891,1.8656810249
3132,1757283721,43201.000,61.303678199,1.757971730,60.561001328,1.738998084,61.058513566,1.643044735,39.277429121,47,0.780846974,1381,247.3905047296,1.9321524628
3133,1757313854,17045.300,65.103042493,2.901753146,64.887579454,2.830482404,65.217580668,2.703355694,53.782359413,47,0.230708451,582,251.3669318449,3.0147980150
3149,1757366592,41388.000,68.878526273,1.927148225,69.373725466,1.867100428,69.686532557,1.793330695,31.810022485,47,0.955993246,1510,251.4967286049,1.8658980620
3150,1757409591,43201.000,69.243353254,1.855171838,69.365291165,1.739630473,68.442128168,1.739554449,53.130262614,47,0.249891208,1548,250.7115121702,1.8029233992
3153,1757455660,43201.000,68.180534814,1.894767812,68.262443831,1.830367835,68.707407735,1.742922419,46.474993853,47,0.494199124,1554,251.7108598568,1.8413063087
3154,1757498870,43201.000,66.815433247,1.707856209,66.857528385,1.758871868,65.966185547,1.707799808,56.833912130,47,0.154147341,1492,251.4602317011,1.8675145892
3157,1757541025,38766.000,67.061114912,1.941700428,67.313363407,1.887879281,67.255531421,1.820378439,70.780244694,47,0.014034501,1365,250.7610724682,1.9422590547
3158,1757583240,43201.000,68.060952757,1.788242799,68.209862654,1.764978160,67.867355774,1.732234719,56.281372860,47,0.166411135,1535,248.7853111265,1.8331950015
3161,1757627648,43201.000,62.972677520,1.798506620,63.292413401,1.735564801,63.048110315,1.669599522,56.707483471,47,0.156892492,1426,249.0884951275,1.8776526357
3162,1757670858,43201.000,65.168143173,1.815827817,64.965322065,1.778716895,65.391413153,1.700343384,40.030157101,47,0.754315739,1479,249.0654719805,1.8545065113
